Comment,Description,Designator,Footprint,Quantity,value
C,无极性贴片电容,"C1, C2, C3, C4, C11, C18, C19, C20",C 0402_L,8,10uF
C,无极性贴片电容,"C5, C6, C7, C8, C12, C13, C14, C17, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44",C 0402_L,32,100nF
C,无极性贴片电容,"C9, C10",C 0402_L,2,18pF
C,无极性贴片电容,"C15, C16",C 0402_L,2,10pF
GH1.25-2P,2P接插件,"CAN1, CAN2, CAN3, CAN4",GH1.25-2P,4,
ESDR0502NMUTBG,USB2.0  ESD保护,"D1, D7",UDFN-6,2,
LED-SMD,贴片LED,"D2, D8",LED 0603R,2,
PESD12VV1BL,双向ESD，5V关断电压 ,D3,SOD-882,1,
PESD5V0F1BL,双向ESD，5V关断电压 ,"D4, D5, D6, D9, D10, D11, D12, D13, D14, D15, D16",SOD-882,11,
GH1.25-3P,3P接插件,"J1, J2",GH1.25-3P,2,
M2.5,铜柱孔,"M1, M2, M3, M4, M5, M6",M3 125X200,6,
AO3400A,N沟道MOS管,"Q1, Q3, Q4, Q5",SOT23-3N,4,
S8050,高频放大-NPN型,Q2,SOT23-3N,1,
R,贴片电阻,"R1, R5, R7, R8, R12, R14, R15, R16, R22, R23, R30, R31",R 0402_L,12,10k
R,贴片电阻,"R2, R10",R 0402_L,2,1k
R,贴片电阻,"R3, R11",R 0402_L,2,680R
R,贴片电阻,R4,R 0402_L,1,4.7k
R,贴片电阻,"R6, R13",R 0402_L,2,100k
R,贴片电阻,R9,R 0402_L,1,47k
R,贴片电阻,R17,R 0402_L,1,51k
R,贴片电阻,R18,R 0402_L,1,270k
R,贴片电阻,"R19, R26, R27, R34",R 0402_L,4,120R
R,贴片电阻,"R20, R21, R24, R25, R28, R29, R32, R33",R 0402_L,8,0R
HX9193-33G,LDO 3V3,"U1, U6",SOT23-5N,2,
74LVC1G17,,"U2, U8, U9, U10",SOT23-5N,4,
GL850G,USB-HUB 1拖4,"U3, U7",SSOP28_N,2,
CH340E,USB转串口,"U4, U5",MSOP10_N,2,
MAX3051,CAN收发器,"U11, U14, U15, U18",SOT23-8N,4,
STM32F072CBT6,,"U12, U13, U16, U17",LQFP48 7X7_N,4,
MX1.25-4P,4P接插件,"USB, USB1",MX 1.25-WI-4P,2,
12M,4脚无源晶振,"X1, X2",OSC 3225-4P,2,
